date.time,unit,value
9/5/20 4:43:01 AM,C,19.643
9/5/20 8:43:01 AM,C,24.148
9/5/20 12:43:01 PM,C,22.647
9/5/20 4:43:01 PM,C,20.144
9/5/20 8:43:01 PM,C,14.63
9/6/20 12:43:01 AM,C,13.626
9/6/20 4:43:01 AM,C,13.626
9/6/20 8:43:01 AM,C,15.132
9/6/20 12:43:01 PM,C,23.648
9/6/20 4:43:01 PM,C,20.144
9/6/20 8:43:01 PM,C,14.63
9/7/20 12:43:01 AM,C,9.107
9/7/20 4:43:01 AM,C,7.096
9/7/20 8:43:01 AM,C,8.101
9/7/20 12:43:01 PM,C,9.609
9/7/20 4:43:01 PM,C,11.116
9/7/20 8:43:01 PM,C,6.09
9/8/20 12:43:01 AM,C,3.574
9/8/20 4:43:01 AM,C,2.567
9/8/20 8:43:01 AM,C,2.567
9/8/20 12:43:01 PM,C,9.107
9/8/20 4:43:01 PM,C,9.107
9/8/20 8:43:01 PM,C,4.581
9/9/20 12:43:01 AM,C,2.567
9/9/20 4:43:01 AM,C,2.063
9/9/20 8:43:01 AM,C,3.07
9/9/20 12:43:01 PM,C,11.618
9/9/20 4:43:01 PM,C,12.121
9/9/20 8:43:01 PM,C,6.09
9/10/20 12:43:01 AM,C,4.581
9/10/20 4:43:01 AM,C,5.084
9/10/20 8:43:01 AM,C,6.593
9/10/20 12:43:01 PM,C,16.135
9/10/20 4:43:01 PM,C,16.135
9/10/20 8:43:01 PM,C,9.609
9/11/20 12:43:01 AM,C,7.096
9/11/20 4:43:01 AM,C,5.587
9/11/20 8:43:01 AM,C,6.09
9/11/20 12:43:01 PM,C,17.137
9/11/20 4:43:01 PM,C,15.633
9/11/20 8:43:01 PM,C,11.116
9/12/20 12:43:01 AM,C,10.614
9/12/20 4:43:01 AM,C,10.614
9/12/20 8:43:01 AM,C,11.618
9/12/20 12:43:01 PM,C,12.623
9/12/20 4:43:01 PM,C,13.626
9/12/20 8:43:01 PM,C,11.618
9/13/20 12:43:01 AM,C,11.618
9/13/20 4:43:01 AM,C,11.116
9/13/20 8:43:01 AM,C,10.112
9/13/20 12:43:01 PM,C,15.132
9/13/20 4:43:01 PM,C,15.132
9/13/20 8:43:01 PM,C,8.604
9/14/20 12:43:01 AM,C,6.09
9/14/20 4:43:01 AM,C,4.581
9/14/20 8:43:01 AM,C,5.587
9/14/20 12:43:01 PM,C,15.633
9/14/20 4:43:01 PM,C,17.639
9/14/20 8:43:01 PM,C,13.125
9/15/20 12:43:01 AM,C,16.135
9/15/20 4:43:01 AM,C,17.137
9/15/20 8:43:01 AM,C,15.633
9/15/20 12:43:01 PM,C,19.643
9/15/20 4:43:01 PM,C,19.643
9/15/20 8:43:01 PM,C,15.132
9/16/20 12:43:01 AM,C,11.618
9/16/20 4:43:01 AM,C,12.121
9/16/20 8:43:01 AM,C,11.116
9/16/20 12:43:01 PM,C,13.626
9/16/20 4:43:01 PM,C,12.623
9/16/20 8:43:01 PM,C,6.09
9/17/20 12:43:01 AM,C,2.567
9/17/20 4:43:01 AM,C,3.574
9/17/20 8:43:01 AM,C,5.587
9/17/20 12:43:01 PM,C,10.614
9/17/20 4:43:01 PM,C,10.112
9/17/20 8:43:01 PM,C,6.593
9/18/20 12:43:01 AM,C,2.567
9/18/20 4:43:01 AM,C,1.56
9/18/20 8:43:01 AM,C,5.084
9/18/20 12:43:01 PM,C,15.633
9/18/20 4:43:01 PM,C,15.132
9/18/20 8:43:01 PM,C,9.609
9/19/20 12:43:01 AM,C,8.604
9/19/20 4:43:01 AM,C,7.599
9/19/20 8:43:01 AM,C,8.604
9/19/20 12:43:01 PM,C,20.645
9/19/20 4:43:01 PM,C,20.144
9/19/20 8:43:01 PM,C,14.128
9/20/20 12:43:01 AM,C,13.626
9/20/20 4:43:01 AM,C,12.623
9/20/20 8:43:01 AM,C,12.623
9/20/20 12:43:01 PM,C,19.643
9/20/20 4:43:01 PM,C,19.643
9/20/20 8:43:01 PM,C,16.636
9/21/20 12:43:01 AM,C,15.132
9/21/20 4:43:01 AM,C,14.63
9/21/20 8:43:01 AM,C,15.132
9/21/20 12:43:01 PM,C,22.647
9/21/20 4:43:01 PM,C,23.148
9/21/20 8:43:01 PM,C,15.132
9/22/20 12:43:01 AM,C,12.623
9/22/20 4:43:01 AM,C,10.112
9/22/20 8:43:01 AM,C,10.614
9/22/20 12:43:01 PM,C,24.148
9/22/20 4:43:01 PM,C,23.148
9/22/20 8:43:01 PM,C,15.132
9/23/20 12:43:01 AM,C,14.128
9/23/20 4:43:01 AM,C,13.125
9/23/20 8:43:01 AM,C,12.623
9/23/20 12:43:01 PM,C,24.148
9/23/20 4:43:01 PM,C,22.647
9/23/20 8:43:01 PM,C,16.636
9/24/20 12:43:01 AM,C,13.626
9/24/20 4:43:01 AM,C,10.112
9/24/20 8:43:01 AM,C,12.121
9/24/20 12:43:01 PM,C,15.132
9/24/20 4:43:01 PM,C,15.633
9/24/20 8:43:01 PM,C,13.626
9/25/20 12:43:01 AM,C,13.125
9/25/20 4:43:01 AM,C,13.626
9/25/20 8:43:01 AM,C,14.63
9/25/20 12:43:01 PM,C,16.636
9/25/20 4:43:01 PM,C,20.144
9/25/20 8:43:01 PM,C,13.626
9/26/20 12:43:01 AM,C,12.121
9/26/20 4:43:01 AM,C,12.623
9/26/20 8:43:01 AM,C,13.125
9/26/20 12:43:01 PM,C,17.137
9/26/20 4:43:01 PM,C,17.639
9/26/20 8:43:01 PM,C,12.121
9/27/20 12:43:01 AM,C,11.618
9/27/20 4:43:01 AM,C,9.609
9/27/20 8:43:01 AM,C,10.112
9/27/20 12:43:01 PM,C,13.125
9/27/20 4:43:01 PM,C,14.63
9/27/20 8:43:01 PM,C,11.116
9/28/20 12:43:01 AM,C,9.609
9/28/20 4:43:01 AM,C,8.604
9/28/20 8:43:01 AM,C,7.096
9/28/20 12:43:01 PM,C,8.604
9/28/20 4:43:01 PM,C,9.609
9/28/20 8:43:01 PM,C,9.107
9/29/20 12:43:01 AM,C,8.604
9/29/20 4:43:01 AM,C,7.599
9/29/20 8:43:01 AM,C,8.101
9/29/20 12:43:01 PM,C,15.132
9/29/20 4:43:01 PM,C,16.135
9/29/20 8:43:01 PM,C,9.609
9/30/20 12:43:01 AM,C,7.599
9/30/20 4:43:01 AM,C,7.096
9/30/20 8:43:01 AM,C,6.09
9/30/20 12:43:01 PM,C,12.121
9/30/20 4:43:01 PM,C,7.599
9/30/20 8:43:01 PM,C,6.593
10/1/20 12:43:01 AM,C,6.593
10/1/20 4:43:01 AM,C,5.587
10/1/20 8:43:01 AM,C,3.07
10/1/20 12:43:01 PM,C,6.593
10/1/20 4:43:01 PM,C,7.096
10/1/20 8:43:01 PM,C,2.567
10/2/20 12:43:01 AM,C,1.056
10/2/20 4:43:01 AM,C,-1.464
10/2/20 8:43:01 AM,C,-1.464
10/2/20 12:43:01 PM,C,6.593
10/2/20 4:43:01 PM,C,7.599
10/2/20 8:43:01 PM,C,1.56
10/3/20 12:43:01 AM,C,1.56
10/3/20 4:43:01 AM,C,1.056
10/3/20 8:43:01 AM,C,-0.456
10/3/20 12:43:01 PM,C,8.604
10/3/20 4:43:01 PM,C,8.604
10/3/20 8:43:01 PM,C,1.56
10/4/20 12:43:01 AM,C,-0.456
10/4/20 4:43:01 AM,C,-0.96
10/4/20 8:43:01 AM,C,2.567
10/4/20 12:43:01 PM,C,10.112
10/4/20 4:43:01 PM,C,12.121
10/4/20 8:43:01 PM,C,8.604
10/5/20 12:43:01 AM,C,8.604
10/5/20 4:43:01 AM,C,7.096
10/5/20 8:43:01 AM,C,8.101
10/5/20 12:43:01 PM,C,17.639
10/5/20 4:43:01 PM,C,17.639
10/5/20 8:43:01 PM,C,11.618
10/6/20 12:43:01 AM,C,9.107
10/6/20 4:43:01 AM,C,8.604
10/6/20 8:43:01 AM,C,9.107
10/6/20 12:43:01 PM,C,18.14
10/6/20 4:43:01 PM,C,17.639
10/6/20 8:43:01 PM,C,15.132
10/7/20 12:43:01 AM,C,11.116
10/7/20 4:43:01 AM,C,7.096
10/7/20 8:43:01 AM,C,6.09
10/7/20 12:43:01 PM,C,15.132
10/7/20 4:43:01 PM,C,16.636
10/7/20 8:43:01 PM,C,9.609
10/8/20 12:43:01 AM,C,4.581
10/8/20 4:43:01 AM,C,2.567
10/8/20 8:43:01 AM,C,3.574
10/8/20 12:43:01 PM,C,13.626
10/8/20 4:43:01 PM,C,15.633
10/8/20 8:43:01 PM,C,12.121
10/9/20 12:43:01 AM,C,11.618
10/9/20 4:43:01 AM,C,11.116
10/9/20 8:43:01 AM,C,11.618
10/9/20 12:43:01 PM,C,22.147
10/9/20 4:43:01 PM,C,19.643
10/9/20 8:43:01 PM,C,12.121
10/10/20 12:43:01 AM,C,7.599
10/10/20 4:43:01 AM,C,4.581
10/10/20 8:43:01 AM,C,4.077
10/10/20 12:43:01 PM,C,10.112
10/10/20 4:43:01 PM,C,14.128
10/10/20 8:43:01 PM,C,8.604
10/11/20 12:43:01 AM,C,9.107
10/11/20 4:43:01 AM,C,8.101
10/11/20 8:43:01 AM,C,9.609
10/11/20 12:43:01 PM,C,15.132
10/11/20 4:43:01 PM,C,17.639
10/11/20 8:43:01 PM,C,12.623
10/12/20 12:43:01 AM,C,10.112
10/12/20 4:43:01 AM,C,8.101
10/12/20 8:43:01 AM,C,6.593
10/12/20 12:43:01 PM,C,12.121
10/12/20 4:43:01 PM,C,13.626
10/12/20 8:43:01 PM,C,8.604
10/13/20 12:43:01 AM,C,8.604
10/13/20 4:43:01 AM,C,8.604
10/13/20 8:43:01 AM,C,5.587
10/13/20 12:43:01 PM,C,11.116
10/13/20 4:43:01 PM,C,11.618
10/13/20 8:43:01 PM,C,7.599
10/14/20 12:43:01 AM,C,6.09
10/14/20 4:43:01 AM,C,6.593
10/14/20 8:43:01 AM,C,5.587
10/14/20 12:43:01 PM,C,10.112
10/14/20 4:43:01 PM,C,3.574
10/14/20 8:43:01 PM,C,2.567
10/15/20 12:43:01 AM,C,-0.96
10/15/20 4:43:01 AM,C,-2.472
10/15/20 8:43:01 AM,C,-2.977
10/15/20 12:43:01 PM,C,3.07
10/15/20 4:43:01 PM,C,4.581
10/15/20 8:43:01 PM,C,2.063
10/16/20 12:43:01 AM,C,-0.96
10/16/20 4:43:01 AM,C,-0.96
10/16/20 8:43:01 AM,C,-1.968
10/16/20 12:43:01 PM,C,0.552
10/16/20 4:43:01 PM,C,2.063
10/16/20 8:43:01 PM,C,-1.464
10/17/20 12:43:01 AM,C,-1.464
10/17/20 4:43:01 AM,C,0.048
10/17/20 8:43:01 AM,C,0.048
10/17/20 12:43:01 PM,C,1.056
10/17/20 4:43:01 PM,C,0.552
10/17/20 8:43:01 PM,C,-2.472
10/18/20 12:43:01 AM,C,-2.472
10/18/20 4:43:01 AM,C,-4.995
10/18/20 8:43:01 AM,C,-3.481
10/18/20 12:43:01 PM,C,-1.968
10/18/20 4:43:01 PM,C,-1.464
10/18/20 8:43:01 PM,C,-2.472
10/19/20 12:43:01 AM,C,-2.472
